ID	Date	Box_code	Density	Sex_true	Sex_predicted	Disp	Time_sec	Active	Height	Diametre	PeristomeH
B6_286_D15_R2	22/06/2017	11	15	F	M	yes	460	1	13.1	10.1	6.1
B6_287_D15_R2	22/06/2017	11	15	M	M	yes	330	1	12.1	9.4	5.9
B6_288_D15_R2	22/06/2017	11	15	F	M	yes	613	1	13.2	9.7	6.1
B6_289_D15_R2	22/06/2017	11	15	F	F	yes	333	1	14.1	11.1	6.5
B6_290_D15_R2	22/06/2017	11	15	M	M	no	7200	0	12.9	10.2	6.2
B6_291_D15_R2	22/06/2017	11	15	M	M	no	390	1	13.1	10.1	6.1
B6_292_D15_R2	22/06/2017	11	15	F	F	no	324	1	13.5	10.2	6.6
B6_293_D15_R2	22/06/2017	11	15	M	M	no	7200	0	11.6	9	5.7
B6_294_D15_R2	22/06/2017	11	15	F	M	no	525	1	13.1	9.6	6.1
B6_295_D15_R2	22/06/2017	11	15	F	F	no	365	1	14.1	10.8	6.5
B6_296_D15_R2	22/06/2017	11	15	M	F	no	7200	0	14.1	11.1	6.4
B6_297_D15_R2	22/06/2017	11	15	F	F	no	7200	0	13.3	10.1	5.9
B6_298_D15_R2	22/06/2017	11	15	M	F	no	364	1	13.4	10.3	6.3
B6_299_D15_R2	22/06/2017	11	15	M	F	no	380	1	13.7	10.3	6.4
B6_300_D15_R3	22/06/2017	12	15	M	M	no	7200	0	12.3	9.3	5.9
B7_301_D15_R3	22/06/2017	12	15	F	F	no	7200	0	13.9	10.6	6.2
B7_302_D15_R3	22/06/2017	12	15	F	F	no	7200	0	13.8	10.5	6.3
B7_303_D15_R3	22/06/2017	12	15	F	M	no	305	1	13.4	10.3	6.2
B7_304_D15_R3	22/06/2017	12	15	F	F	no	226	1	13.8	10.4	6.1
B7_305_D15_R3	22/06/2017	12	15	M	M	no	742	1	13.3	10.2	6.1
B7_306_D15_R3	22/06/2017	12	15	M	F	no	7200	0	13.5	10.1	6.3
B7_307_D15_R3	22/06/2017	12	15	F	M	no	410	1	13.1	10.1	6.1
B7_308_D15_R3	22/06/2017	12	15	F	M	yes	446	1	12.4	9.5	6.1
B7_309_D15_R3	22/06/2017	12	15	F	M	yes	570	1	13.3	10.1	6.3
B7_310_D15_R3	22/06/2017	12	15	M	F	yes	518	1	13.4	10.3	6.2
B7_311_D15_R3	22/06/2017	12	15	M	F	yes	390	1	12.7	9.7	6.1
B7_312_D15_R3	22/06/2017	12	15	M	M	yes	7200	0	12.7	9.5	6.1
B7_313_D15_R3	22/06/2017	12	15	F	F	yes	659	1	13.9	10.8	6.3
B7_314_D15_R3	22/06/2017	12	15	F	F	no	750	1	14.8	11.1	6.5
B2_100_D20_R1	12/06/2017	5	20	M	F	yes	7200	0	13.4	10.3	6.1
B3_101_D20_R1	12/06/2017	5	20	F	M	yes	7200	0	12.8	9.9	5.9
B3_102_D20_R1	12/06/2017	5	20	M	M	no	489	1	12.1	9.3	5.8
B3_103_D20_R1	12/06/2017	5	20	F	M	no	7200	0	13.1	9.9	6.1
B3_104_D20_R1	12/06/2017	5	20	F	F	no	7200	0	14.3	10.9	6.2
B3_105_D20_R1	12/06/2017	5	20	F	F	no	7200	0	14.1	10.9	6.5
B3_106_D20_R1	12/06/2017	5	20	M	M	yes	7200	0	13.1	9.8	5.9
B3_107_D20_R1	12/06/2017	5	20	M	M	yes	7200	0	12.1	8.6	5.8
B3_108_D20_R1	12/06/2017	5	20	F	F	yes	7200	0	13.7	10.8	6.5
B3_109_D20_R1	12/06/2017	5	20	M	M	yes	7200	0	12.8	10.1	6.1
B3_110_D20_R1	12/06/2017	5	20	F	F	yes	7200	0	14.2	11.1	6.6
B3_111_D20_R1	12/06/2017	5	20	M	M	yes	7200	0	12.6	10.1	5.6
B3_112_D20_R1	12/06/2017	5	20	M	M	yes	211	1	12.9	10.3	6.1
B3_114_D20_R1	12/06/2017	5	20	M	F	no	443	1	13.1	10.3	6.1
B3_117_D20_R1	12/06/2017	5	20	F	F	yes	209	1	13.3	10.3	6.1
B3_118_D20_R1	12/06/2017	5	20	F	M	no	348	1	12.9	10.1	5.9
B3_119_D20_R1	12/06/2017	5	20	M	F	yes	242	1	13.1	10.1	6.2
B3_120_D20_R1	12/06/2017	5	20	F	F	no	200	1	13.5	10.4	6.3
B3_121_D20_R1	12/06/2017	5	20	M	M	no	251	1	13.1	9.9	6.1
B3_123_D20_R1	12/06/2017	5	20	F	F	yes	255	1	13.6	10.6	6.3
B4_186_D20_R2	16/06/2017	7	20	M	M	yes	7200	0	12.5	9.3	5.9
B4_187_D20_R2	16/06/2017	7	20	F	M	yes	7200	0	12.9	10.1	6.1
B4_188_D20_R2	16/06/2017	7	20	F	M	yes	7200	0	13.8	10.5	6.2
B4_189_D20_R2	16/06/2017	7	20	F	F	yes	303	1	14.1	10.6	6.9
B4_190_D20_R2	16/06/2017	7	20	M	M	yes	267	1	12.6	9.4	6.2
B4_191_D20_R2	16/06/2017	7	20	M	M	yes	7200	0	12.6	9.2	5.6
B4_192_D20_R2	16/06/2017	7	20	F	F	yes	7200	0	13.9	10.4	6.4
B4_193_D20_R2	16/06/2017	7	20	F	F	yes	170	1	14.3	10.8	6.9
B4_194_D20_R2	16/06/2017	7	20	F	F	yes	7200	0	14.1	11.1	6.8
B4_195_D20_R2	16/06/2017	7	20	F	F	yes	7200	0	13.8	10.3	6.1
B4_196_D20_R2	16/06/2017	7	20	F	F	yes	7200	0	14.3	10.7	6.5
B4_197_D20_R2	16/06/2017	7	20	M	F	yes	7200	0	13.5	10.1	6.5
B4_198_D20_R2	16/06/2017	7	20	M	M	no	485	1	13.1	9.7	6.2
B4_199_D20_R2	16/06/2017	7	20	F	M	no	7200	0	13.2	10.2	6.1
B4_200_D20_R2	16/06/2017	7	20	M	M	no	7200	0	12.9	9.8	6.1
B5_201_D20_R2	16/06/2017	7	20	F	F	no	7200	0	14.2	10.5	6.5
B5_202_D20_R2	16/06/2017	7	20	M	F	no	508	1	13.5	10.3	6.4
B5_203_D20_R2	16/06/2017	7	20	F	F	no	443	1	14.3	11.1	6.5
B5_204_D20_R2	16/06/2017	7	20	M	M	no	7200	0	12.5	9.5	6.1
B5_205_D20_R2	16/06/2017	7	20	M	M	no	7200	0	13.2	10.2	6.1
B5_206_D20_R3	16/06/2017	6	20	F	F	yes	783	1	14.1	10.5	6.4
B5_207_D20_R3	16/06/2017	6	20	F	F	yes	310	1	14.1	10.6	6.4
B5_208_D20_R3	16/06/2017	6	20	F	M	yes	549	1	13.5	10.7	6.2
B5_209_D20_R3	16/06/2017	6	20	M	M	yes	600	1	12.9	9.4	5.8
B5_210_D20_R3	16/06/2017	6	20	F	F	yes	182	1	14.1	11.1	6.6
B5_211_D20_R3	16/06/2017	6	20	F	M	no	327	1	12.3	10.1	6.1
B5_212_D20_R3	16/06/2017	6	20	F	F	no	302	1	13.7	10.2	6.2
B5_213_D20_R3	16/06/2017	6	20	M	M	no	374	1	12.6	9.5	6.1
