uniqueID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	area	Shell_Mass
161	7.714347e-03	-6.451471e-04	9.930330e-04	-4.470564e-04	9.128086e-03	-4.414928e-03	-2.642692e-03	1.502049e-03	68.73150746	120.9
162	1.855848e-02	-4.737830e-03	-1.539038e-02	-1.626071e-03	5.316361e-03	-1.182928e-02	8.108139e-03	-4.577909e-03	76.5971645356	140.6
163	1.248165e-02	1.412349e-02	1.152294e-02	-8.062317e-03	-9.394004e-03	7.525354e-03	1.638250e-03	6.741967e-03	72.3646165092	126.0
164	-1.362817e-02	1.322492e-03	-1.188644e-03	6.046383e-03	-1.698250e-03	4.517985e-03	-4.639454e-03	2.968859e-03	85.6994910453	169.3
165	-3.883193e-02	1.345608e-03	-1.341178e-02	8.295655e-03	-1.365176e-03	2.647765e-03	5.660761e-03	-5.633027e-04	85.9449902163	148.9
166	9.688301e-03	-1.290907e-02	3.105939e-02	-1.611957e-02	-5.954151e-03	-1.723957e-03	7.923553e-03	-6.030920e-03	74.2158225769	144.6
167	3.417736e-02	-5.811171e-03	-6.012243e-03	2.643644e-03	4.338141e-03	3.299151e-05	5.140841e-03	8.802889e-04	79.568823674	144.6
168	-1.872868e-02	1.700892e-02	-5.893102e-03	9.258212e-03	-4.642273e-03	2.313332e-03	3.745169e-03	4.558719e-03	78.5362403294	157.0
169	-1.392086e-02	-3.256324e-02	-2.136357e-02	-9.105492e-03	-1.852919e-02	7.248212e-03	-7.605738e-03	-3.137223e-03	71.1972064926	119.6
170	8.889116e-03	3.630585e-02	-8.623802e-03	-1.536852e-02	-3.180600e-03	-3.279103e-03	1.579850e-04	2.318759e-03	75.6277795184	183.0
171	2.878455e-02	-3.869571e-03	3.242218e-03	1.227103e-03	-5.492190e-03	2.395546e-03	3.671110e-03	-1.639642e-03	73.6150750108	125.9
172	-5.122318e-02	1.426269e-02	3.003933e-02	-6.357184e-03	4.635720e-03	2.711053e-03	2.257694e-03	3.097868e-05	84.7005866208	181.2
173	-4.026272e-02	-8.425141e-03	1.963756e-03	-2.426772e-03	-1.333334e-03	3.024403e-03	-4.264924e-03	-5.880022e-04	83.8596285708	137.8
174	3.996915e-02	-7.161811e-03	-1.940414e-02	-1.386743e-03	4.569010e-03	-1.098784e-02	9.678711e-03	-2.815766e-03	78.4389015024	176.9
177	-2.072784e-02	2.964269e-02	1.368341e-02	-1.296249e-02	2.812569e-03	-1.987447e-03	-9.498786e-03	-1.079987e-02	67.012848738	151.6
178	3.774174e-02	1.974543e-02	9.325393e-03	1.408084e-02	-1.186416e-02	-2.181002e-03	-2.242598e-04	-1.356632e-03	65.348637018	105.6
179	-2.412023e-02	5.557786e-03	3.713274e-02	7.640387e-03	-1.240128e-03	-7.913400e-03	-1.240333e-02	1.654546e-03	67.3203819654	116.0
180	3.173269e-02	-1.474583e-03	2.593244e-02	1.794693e-03	1.250594e-03	3.845510e-03	3.758491e-04	5.957973e-04	62.1777470994	104.4
181	-3.565890e-02	-1.870373e-02	-3.901249e-02	2.167437e-03	-1.751325e-02	-1.009509e-03	5.925725e-03	-9.720770e-03	81.0571985118	145.8
182	1.535707e-02	-2.800855e-02	-7.354222e-03	-2.276946e-04	1.128789e-02	1.238077e-04	-8.497587e-03	1.124884e-03	81.5987147778	145.3
