ID	Date	Days	Week	Box_code	Density	Sex_true	Sex_predicted	Disp	Dispersal_matrix	Time_sec	Active	Height	Diametre	PeristomeH
B6_346_D30_R2	26/06/17	24	3	23	30	M	F	yes	3	450	1	13.9	10.5	6.3
B6_347_D30_R2	26/06/17	24	3	23	30	M	M	yes	3	7200	0	12.6	9.6	5.9
B6_348_D30_R2	26/06/17	24	3	23	30	M	F	yes	2	7200	0	13.3	10.1	6.1
B6_349_D30_R2	26/06/17	24	3	23	30	F	F	yes	2	7200	0	13.2	10.3	6.2
B6_350_D30_R2	26/06/17	24	3	23	30	M	M	yes	2	530	1	12.4	9.1	5.8
B7_351_D30_R2	26/06/17	24	3	23	30	M	F	yes	2	560	1	13.4	10.2	6.1
B7_352_D30_R2	26/06/17	24	3	23	30	M	M	yes	2	7200	0	13.1	10.3	6.3
B7_353_D30_R2	26/06/17	24	3	23	30	F	F	no	1	707	1	13.5	10.3	6.1
B7_354_D30_R2	26/06/17	24	3	23	30	M	M	no	1	7200	0	13.1	10.2	6.1
B7_355_D30_R2	26/06/17	24	3	23	30	F	M	no	1	7200	0	13.1	10.1	6.3
B7_356_D30_R2	26/06/17	24	3	23	30	M	M	no	1	7200	0	12.8	9.6	5.7
B7_357_D30_R2	26/06/17	24	3	23	30	F	F	no	1	7200	0	14.1	11.1	6.5
B7_358_D30_R2	26/06/17	24	3	23	30	F	F	no	1	7200	0	13.7	10.2	6.3
B7_359_D30_R2	26/06/17	24	3	23	30	F	F	no	0	7200	0	14.1	11.1	6.6
B7_360_D30_R2	26/06/17	24	3	23	30	M	M	no	0	7200	0	13.1	9.5	5.7
B7_361_D30_R2	26/06/17	24	3	23	30	M	F	no	0	702	1	14.2	10.7	6.3
B7_362_D30_R2	26/06/17	24	3	23	30	M	M	no	0	7200	0	12.5	9.7	6.1
B7_363_D30_R2	26/06/17	24	3	23	30	M	M	no	0	480	1	13.2	10.2	6.1
B7_364_D30_R2	26/06/17	24	3	23	30	M	M	no	0	7200	0	12.7	9.8	5.8
B7_365_D30_R2	26/06/17	24	3	23	30	M	M	no	0	566	1	13.2	10.2	6.1
B7_366_D30_R2	26/06/17	24	3	23	30	F	F	no	0	420	1	13.2	10.1	6.5
B7_367_D30_R2	26/06/17	24	3	23	30	F	F	no	0	325	1	13.1	10.1	6.1
B7_368_D30_R2	26/06/17	24	3	23	30	F	F	no	0	300	1	13.3	10.5	6.3
B7_369_D30_R2	26/06/17	24	3	23	30	F	F	no	0	360	1	14.4	11.3	6.8
B7_370_D30_R2	26/06/17	24	3	23	30	F	F	no	0	403	1	14.1	10.5	6.6
B7_371_D30_R2	26/06/17	24	3	23	30	M	M	no	0	290	1	13.1	10.1	6.1
B7_372_D30_R2	26/06/17	24	3	23	30	F	F	no	0	7200	0	13.9	10.7	6.7
B7_373_D30_R2	26/06/17	24	3	23	30	M	M	no	0	7200	0	12.7	10.1	6.1
B7_374_D30_R2	26/06/17	24	3	23	30	M	M	no	0	220	1	12.1	9.1	5.7
